CustomerID,Age,Gender,City,TenureYears,AnnualIncomePKR,AccountBalancePKR,CreditScore,NumProducts,MonthlyTransactions,DigitalBankingUser,ActiveMember,Churned
C10001,42,Male,Rawalpindi,7,1812000,1155000,563,1,25,Yes,Yes,No
C10002,28,Male,Peshawar,6,1353000,1030000,596,2,25,Yes,Yes,No
C10003,47,Female,Karachi,6,2146000,1462000,614,3,35,Yes,Yes,No
C10004,49,Male,Rawalpindi,7,2053000,1389000,618,2,20,Yes,No,No
C10005,18,Male,Lahore,3,633000,929000,547,2,8,No,No,Yes
C10006,25,Female,Peshawar,8,1349000,1289000,593,2,23,Yes,Yes,No
C10007,40,Female,Karachi,1,1419000,882000,628,1,3,No,No,Yes
C10008,36,Female,Rawalpindi,6,1385000,1707000,673,1,18,No,Yes,No
C10009,39,Male,Karachi,6,1297000,1092000,602,1,21,Yes,No,No
C10010,30,Female,Karachi,3,1495000,1381000,618,2,26,No,No,No
C10011,49,Female,Rawalpindi,5,2542000,1047000,576,2,16,Yes,No,No
C10012,48,Male,Karachi,3,2292000,1032000,646,1,14,No,Yes,No
C10013,40,Female,Peshawar,2,2181000,1422000,544,3,24,Yes,Yes,No
C10014,51,Male,Karachi,4,2411000,1462000,674,2,19,No,Yes,No
C10015,44,Male,Rawalpindi,2,2133000,1518000,714,2,15,No,No,No
C10016,30,Male,Lahore,6,1564000,1198000,580,2,17,No,Yes,No
C10017,43,Male,Karachi,2,1882000,633000,471,1,23,Yes,No,Yes
C10018,28,Male,Karachi,7,1152000,1668000,558,2,9,No,No,No
C10019,49,Female,Islamabad,2,3138000,1368000,669,2,30,Yes,Yes,No
C10020,38,Female,Islamabad,4,1560000,1290000,622,1,18,No,Yes,No
C10021,37,Female,Rawalpindi,3,1387000,1194000,599,4,29,Yes,Yes,No
C10022,32,Female,Rawalpindi,9,1819000,1528000,659,3,25,Yes,Yes,No
C10023,52,Female,Rawalpindi,6,2598000,1648000,651,2,38,Yes,Yes,No
C10024,37,Male,Islamabad,5,1147000,1290000,661,3,22,Yes,Yes,No
C10025,34,Male,Lahore,7,2135000,1903000,649,3,29,Yes,Yes,No
C10026,35,Male,Lahore,0,1426000,1107000,652,1,6,No,No,No
C10027,45,Male,Faisalabad,5,1654000,1209000,628,2,34,Yes,Yes,No
C10028,43,Female,Faisalabad,11,2734000,2211000,681,2,22,No,Yes,Yes
C10029,44,Male,Lahore,6,2371000,1535000,594,1,19,Yes,Yes,Yes
C10030,44,Male,Rawalpindi,5,1542000,1171000,573,1,18,No,Yes,No
C10031,63,Male,Islamabad,7,3801000,2373000,741,1,17,No,Yes,No
C10032,35,Male,Lahore,8,2023000,1900000,616,2,17,Yes,No,No
C10033,33,Female,Islamabad,0,1366000,1466000,609,3,24,No,Yes,No
